address,latitude,longitude
415 LEAVENWORTH ST,37.784822945975,-122.414537959632
405 LEAVENWORTH ST,37.784739914858,-122.41452135342
401 LEAVENWORTH ST,37.784706702412,-122.414514710935
1220 FLORIDA ST,37.752372804098,-122.410104574384
737 HYDE ST,37.787458370171,-122.416753952666
3475 20TH ST,37.75860541418,-122.418503497933
3615 BUCHANAN ST,37.803226588998,-122.433435332367
451 LEAVENWORTH ST,37.785121858052,-122.414597742441
501 LEAVENWORTH ST,37.785633404949,-122.414699484123
421 LEAVENWORTH ST,37.784872764645,-122.414547923359
1260 FLORIDA ST,37.751769237777,-122.410046604812
698 PARKER AVE,37.775814511851,-122.45290485019
1780 UNION ST,37.79802536465,-122.428577216446
933 LARKIN ST,37.786644650142,-122.418268537117
545 LEAVENWORTH ST,37.786002663804,-122.414775507956
620 PARKER AVE,37.776032420135,-122.452947925054
660 PARKER AVE,37.775920672297,-122.45292583538
3465 20TH ST,37.758616796922,-122.418306738874
2889 24TH ST,37.752694927692,-122.409823522849
1820 UNION ST,37.797934067451,-122.429302674343
919 LARKIN ST,37.786412735827,-122.418222538751
1380 VALENCIA ST,37.750830001606,-122.420611516064
509 LEAVENWORTH ST,37.785700542923,-122.414713306638
525 LEAVENWORTH ST,37.78583481887,-122.414740951668
600 PARKER AVE,37.776088294054,-122.452958969891
1105 LARKIN ST,37.788024088959,-122.418549727032
3435 20TH ST,37.758659940396,-122.417609242317
1850 UNION ST,37.797876210422,-122.429763015299
1015 NAPLES ST,37.714018604741,-122.436227981923
2871 24TH ST,37.75271490773,-122.409526676272
1209 BUSH ST,37.789032573454,-122.417197032596
1870 UNION ST,37.797837639069,-122.43006990927
3405 20TH ST,37.758698996196,-122.417016081737
2781 24TH ST,37.752808586594,-122.407973785314
504 JONES ST,37.786093955493,-122.412958030705
608 PARKER AVE,37.776065944486,-122.452954551956
2809 24TH ST,37.752784145093,-122.408389974103
1845 POST ST,37.785210618497,-122.432180016335
2106 CHESTNUT ST,37.800623569227,-122.438214392942
2120 CHESTNUT ST,37.800599558347,-122.438401782296
1843 POST ST,37.785214472734,-122.432149601366
2701 24TH ST,37.752845589843,-122.407357063798
1562 HOLLOWAY AVE,37.72091825137,-122.475805682591
2250 GOLDEN GATE AVE,37.777582033183,-122.447992252595
2448 GOLDEN GATE AVE,37.777206072429,-122.450906382004
2251 GOLDEN GATE AVE,37.777433060902,-122.448237967412
3038 FILLMORE ST,37.797472520887,-122.435494180489
1121 BUSH ST,37.789216846253,-122.41570611911
1045 BUSH ST,37.789380321312,-122.414422720261
2201 GOLDEN GATE AVE,37.777483029581,-122.447863202131
1025 BUSH ST,37.789417562719,-122.414134945607
2525 FILLMORE ST,37.79270448942,-122.434677371891
216 EDDY ST,37.784149458426,-122.411315235523
204 EDDY ST,37.784175824215,-122.41110602861
2206 CHESTNUT ST,37.800437690369,-122.439671349362
